"vessel_names";"volume";"product";"group";"family";"start_date";"end_date";"origin";"destination"
"Ce-Hamilton";709993;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2018-07-31";"2018-08-01";"Singapore Republic";"Malaysia"
"Lavails";216482;"crude";"crude/co";"Dirty";"2018-07-08";"2018-07-20";"Saudi Arabia";"China"
"Mayasan";997501;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2013-10-11";"2013-10-12";"Angola";"Portugal"
"Eagle Parana";110845;"crude";"crude/co";"Dirty";"2017-09-13";"2017-09-14";"Thailand";"Thailand"
"Baltic Wind";789924;"crude";"crude/co";"Dirty";"2019-09-21";"2019-10-10";"South Korea";"Taiwan"
"Eurostrength";272940;"crude";"crude/co";"Dirty";"2019-09-03";"2019-09-27";"Iran";"Turkey"
"Silver Eburna";207532;"crude";"crude/co";"Dirty";"2019-02-22";"2019-03-15";"Italy";"Bahamas"
"Fpmc C Noble";268927;"crude";"crude/co";"Dirty";"2020-03-24";"2020-06-19";"Norway";"French Antilles"
"Seascout";599997;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2013-11-11";"2013-11-29";"Saudi Arabia";"India"
"Atlantic Star";261001;NA;"Gasoil/Diesel";"Middle Distillates";"2017-12-14";"2018-01-04";"Russian Federation";"Russian Federation"
"Azumasan";130633;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2016-06-07";"2016-06-08";"South Korea";"Australia"
"Eliana";1047725;"crude";"crude/co";"Dirty";"2019-05-28";"2019-06-09";"Lithuania";"Netherlands"
"Hovden Spirit";981669;NA;"crude/co";"Dirty";"2020-04-17";"2020-05-13";"Kuwait";"South Korea"
"Rich Breeze";1049322;"Blending Comps";"Blendings";"Light Ends";"2017-01-04";"2017-02-03";"Brazil";"Brazil"
"Jag Pranav";1012992;"crude";"crude/co";"Dirty";"2019-07-08";"2019-07-15";"Angola";"China"
"Tordis Knutsen";42657;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2017-01-12";"2017-02-03";"United Kingdom";"Netherlands"
"Horizon Electra";786106;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2017-09-05";"2017-10-10";"Iraq";"India"
"Maritime Riyal";274286;"crude";"crude/co";"Dirty";"2016-01-28";"2016-01-31";"United Arab Emirates";"Thailand"
"Timofey Guzhenko";52155;"crude";"crude/co";"Dirty";"2019-08-09";"2019-08-10";"Singapore Republic";"Bangladesh"
"Ariana";114858;"FO";"Fuel Oils";"DPP";"2019-07-16";"2019-08-08";"India";"Australia"
"Front Singapore";1036070;"RFO";"Fuel Oils";"DPP";"2017-04-16";"2017-04-18";"Qatar";"Oman"
"Monte Serantes";2003593;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2014-08-06";"2014-08-23";"Greece";"Greece"
"Sti Notting Hill";504927;"crude";"crude/co";"Dirty";"2019-10-27";"2019-10-31";"India";"India"
"Acadian";716019;"crude";"crude/co";"Dirty";"2018-05-09";"2018-05-19";"Peru";"France"
"Pacific Pioneer";606507;"crude";"crude/co";"Dirty";"2019-05-09";"2019-06-12";"Nigeria";"Italy"
"Cape Balder";130683;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2018-05-27";"2018-05-29";"Russian Federation";"United States"
"Nordic Jupiter";1050800;"FO";"Fuel Oils";"DPP";"2019-02-11";NA;"Saudi Arabia";NA
"Dht Peony";2011688;NA;"Kero/Jet";"Middle Distillates";"2018-10-09";"2018-11-02";"Cambodia";"South Korea"
"Bro Distributor";285242;"VGO";"Fuel Oils";"DPP";"2015-12-27";"2016-01-01";"Nigeria";"United States"
"Artavil";6;NA;"crude/co";"Dirty";"2019-10-05";"2019-10-10";"Australia";"Singapore Republic"
"Pelagos";507002;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2018-12-17";"2018-12-22";"Singapore Republic";"Netherlands"
"S Jean";645812;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2017-08-08";"2017-08-24";"Turkey";"Spain"
"Cosjade Lake";345354;"FO";"Fuel Oils";"DPP";"2018-09-09";"2018-10-07";"Peru";"Colombia"
"Grace Star";630000;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2020-02-10";"2020-02-12";"Saudi Arabia";"Saudi Arabia"
"Sea Hazel";181794;"crude";"crude/co";"Dirty";"2016-12-24";"2017-01-17";"Norway";"Norway"
"Almi Sun";261316;"crude";"crude/co";"Dirty";"2019-06-01";"2019-06-09";"United States";"Chile"
"Sofia";293765;NA;"Fuel Oils";"DPP";"2017-03-06";"2017-03-21";"Canada";"United States"
"Morholmen";62457;NA;"Gasoil/Diesel";"Middle Distillates";"2019-02-16";"2019-03-15";"China";"China"
"Kestrel";40462;"crude";"crude/co";"Dirty";"2019-08-04";"2019-08-10";"Venezuela";"Bonaire"
"Apollo";127852;NA;"crude/co";"Dirty";"2019-08-31";"2019-09-18";"Algeria";"China"
"Sea Falcon";89994;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-09-27";"2019-11-20";"China";"Australia"
"Sti Battery";1083998;"crude";"crude/co";"Dirty";"2018-06-05";NA;"Canada";NA
"Torm Herdis";1056247;"crude";"crude/co";"Dirty";"2016-06-05";"2016-06-25";"Mexico";"India"
"Dl Ruby";819078;"crude";"crude/co";"Dirty";"2018-10-17";"2018-10-22";"Belgium";"United States"
"Gulf Jalmuda";6038;"crude";"crude/co";"Dirty";"2018-03-23";"2018-04-04";"United States";"Costa Rica"
"Salamina";88246;"crude";"crude/co";"Dirty";"2019-01-09";"2019-02-06";"Malaysia";"Japan"
"V. Excellence";137080;"FO";"Fuel Oils";"DPP";"2018-10-11";"2018-10-19";"Netherlands";"United States"
"Aktea";772439;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2019-02-09";"2019-03-07";"Norway";"Norway"
"Tower Bridge";1057027;"crude";"crude/co";"Dirty";"2015-02-26";NA;"Spain";NA
"Minerva Oceania";2352;"crude";"crude/co";"Dirty";"2020-03-29";"2020-04-10";"Trinidad and Tobago";"Peru"
"Navion Oceania";1084508;"FO";"Fuel Oils";"DPP";"2016-03-06";"2016-03-23";"India";"Taiwan"
"Sichem New York";150672;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-04-27";"2020-05-02";"Qatar";"Netherlands"
"New England";293551;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2019-09-22";"2019-09-29";"Bahrain";"South Africa"
"Mars Sun";630000;"crude";"crude/co";"Dirty";"2018-09-28";"2018-10-16";"United States";"Japan"
"Atlantic Infinity";141017;"crude";"crude/co";"Dirty";"2016-03-11";"2016-04-10";"Colombia";"United States"
"Vasily Dinkov";389465;"crude";"crude/co";"Dirty";"2017-02-17";"2017-03-31";"Netherlands";"Canada"
"Bw Petrel";161553;"FO";"Fuel Oils";"DPP";"2019-09-22";"2019-10-23";"Russian Federation";"Netherlands"
"Delta Hellas";94036;"condensate";"crude/co";"Dirty";"2020-05-03";"2020-05-27";"Russian Federation";"Lebanon"
"Saranga";109360;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2016-05-07";NA;"Brazil";NA
"Sea Star";17611;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-07-21";"2019-07-31";"Russian Federation";"Belgium"
"Ruby Iv";57243;"crude";"crude/co";"Dirty";"2016-07-13";"2016-08-06";"Netherlands";"Singapore Republic"
"East Coast";267700;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2014-01-30";"2014-02-16";"Saudi Arabia";"United States"
"Stena Paris";2011607;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2017-01-31";NA;"Poland";NA
"Sevin";145602;"crude";"crude/co";"Dirty";"2015-05-17";"2015-07-06";"Bahamas";"United States"
"Csc Crystal";708811;"crude";"crude/co";"Dirty";"2018-04-26";"2018-05-25";"Cameroon";"China"
"Nansen Spirit";1559885;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2013-11-08";"2013-11-09";"Angola";"United States"
"Artavil";371690;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2019-09-23";"2019-09-27";"Saudi Arabia";"United States"
"Bossa Nova Spirit";345417;"Jet";"Kero/Jet";"Middle Distillates";"2019-11-30";"2020-01-18";"Norway";"United Kingdom"
"Bw Osprey";532086;"crude";"crude/co";"Dirty";"2016-06-18";NA;"Saudi Arabia";NA
"Cape Bellavista";226395;"crude";"crude/co";"Dirty";"2018-06-27";"2018-08-27";"Russian Federation";"Netherlands"
"Monte Toledo";221332;"crude";"crude/co";"Dirty";"2019-06-09";"2019-06-16";"Malaysia";"Malaysia"
"Ns Lion";708176;"FO";"Fuel Oils";"DPP";"2020-04-07";NA;"China";NA
"Quetta";114461;NA;"crude/co";"Dirty";"2013-08-24";"2013-09-06";"United States";"Venezuela"
"Eagle Toledo";320151;"crude";"crude/co";"Dirty";"2020-03-22";"2020-04-10";"Brazil";"Malaysia"
"Onyx";23284;NA;"Gasoil/Diesel";"Middle Distillates";"2017-01-22";"2017-02-02";"Singapore Republic";"Indonesia"
"Yuri Senkevich";358003;"crude";"crude/co";"Dirty";"2019-03-06";NA;"Brazil";NA
"Blue Rose";371457;"VGO";"Fuel Oils";"DPP";"2016-02-15";"2016-03-04";"China";"Bangladesh"
"Eagle";91516;"crude";"crude/co";"Dirty";"2016-05-09";"2016-05-12";"Japan";"Singapore Republic"
"Wafrah";357292;"Blending Comps";"Blendings";"Light Ends";"2017-06-15";"2017-08-22";"Qatar";"Thailand"
"Peace Worth";366010;"FO";"Fuel Oils";"DPP";"2019-07-30";"2019-08-04";"Finland";"Belgium"
"Shawna";16845;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2018-02-11";"2018-02-19";"Russian Federation";"Netherlands"
"Shogun";104901;"crude";"crude/co";"Dirty";"2017-07-21";NA;"Russian Federation";NA
"Despina";7434;"FO";"Fuel Oils";"DPP";"2019-07-22";"2019-08-08";"Ghana";"Ghana"
"Baltic Soul";518689;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-07-29";"2018-07-31";"Saudi Arabia";"Saudi Arabia"
"Pyxis Malou";199997;"crude";"crude/co";"Dirty";"2019-11-14";"2019-12-07";"Saudi Arabia";"India"
"Clover";118216;"crude";"crude/co";"Dirty";"2016-08-21";"2016-08-28";"Mexico";"United States"
"Primero";32285;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2020-08-24";"2020-09-14";"Trinidad and Tobago";"United States"
"Saga";359223;"crude";"crude/co";"Dirty";"2020-03-16";"2020-03-23";"Brazil";"Brazil"
"Dominar";76660;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2017-01-13";"2017-01-16";"United States";"Chile"
"Bauci";329630;"crude";"crude/co";"Dirty";"2015-11-01";"2015-11-07";"Brazil";"Brazil"
"New Tinos";514097;NA;"crude/co";"Dirty";"2020-08-05";"2020-08-13";"Ireland";"France"
"Hakusan";30059;NA;"Gasoline/Naphtha";"Light Ends";"2016-09-24";"2016-10-16";"India";"China"
"Eagle Kinarut";92975;"crude";"crude/co";"Dirty";"2017-09-05";"2017-10-19";"Saudi Arabia";"China"
"Seaways Athens";836582;"VGO";"Fuel Oils";"DPP";"2015-11-24";"2015-11-30";"Brazil";"Brazil"
"Centennial Matsuyama";57803;"Jet";"Kero/Jet";"Middle Distillates";"2020-07-31";"2020-08-01";"Greece";"Greece"
"Horaisan";70703;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2017-03-20";"2017-05-04";"Russian Federation";"Jamaica"
"Sti Solace";46003;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2013-01-28";"2013-02-14";"India";"India"
"Taiga";755827;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2013-05-01";"2013-05-17";"China";"China"
"Athenian Freedom";345417;"Blending Comps";"Blendings";"Light Ends";"2019-05-16";"2019-06-07";"Italy";"United Arab Emirates"
"Torm Thor";360651;"FO";"Fuel Oils";"DPP";"2016-07-21";"2016-08-13";"Saudi Arabia";"Netherlands"
"Lilac Victoria";230181;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2016-05-10";"2016-05-13";"Malaysia";"Australia"
"Cartola";85283;"crude";"crude/co";"Dirty";"2020-01-11";"2020-01-21";"Egypt";"Spain"
"Libra Trader";168730;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2018-08-11";"2018-08-15";"Iraq";"China"
"Lillesand";2006242;"crude";"crude/co";"Dirty";"2019-10-25";"2019-11-18";"Greece";"Greece"
"Nian Chi";260939;"crude";"crude/co";"Dirty";"2014-10-08";"2014-11-27";"United States";"Mexico"
"Hafnia Australia";1065305;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2016-06-18";"2016-07-06";"Russian Federation";"Italy"
"Pennsylvania";200839;"crude";"crude/co";"Dirty";"2013-03-19";"2013-03-22";"Nigeria";"Poland"
"Spas Tiga";51475;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2018-06-04";"2018-06-06";"United States";"United States"
"Fairchem Success";499624;"crude";"crude/co";"Dirty";"2019-04-27";"2019-05-18";"Singapore Republic";"Hong Kong"
"American Liberty";52985;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2018-08-17";"2018-09-12";"Indonesia";"Japan"
"Energy Progress";272499;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2014-07-06";"2014-08-06";"Norway";"Germany"
"Challenge Pinnacle";86604;"crude";"crude/co";"Dirty";"2019-08-31";"2019-09-03";"Togo";"Brazil"
"Honesty";831060;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2018-03-26";"2018-04-29";"Mexico";"United States"
"Sti Larvotto";351524;NA;"crude/co";"Dirty";"2018-09-13";"2018-10-01";"Norway";"United Kingdom"
"Selini";522783;"crude";"crude/co";"Dirty";"2019-04-09";"2019-04-25";"Netherlands";"Nigeria"
"Sti Winnie";261750;"FO";"Fuel Oils";"DPP";"2017-08-12";"2017-09-08";"United States";"United States"
"Elka Leblon";2052012;"crude";"crude/co";"Dirty";"2019-05-10";"2019-05-19";"South Korea";"Philippines"
"Cap Leon";500002;"Jet";"Kero/Jet";"Middle Distillates";"2013-12-01";"2013-12-10";"United States";"India"
"Angra Dos Reis";15328;"crude";"crude/co";"Dirty";"2017-06-30";"2017-07-23";"Russian Federation";"Germany"
"Fs Sincerity";55778;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2013-07-26";NA;"United States";NA
"Chemical Hunter";544257;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2015-02-16";"2015-02-18";"Italy";"Italy"
"Eagle Tacoma";109209;NA;"Gasoline/Naphtha";"Light Ends";"2013-05-12";"2013-05-20";"China";"Malaysia"
"Jenny I";20448;"crude";"crude/co";"Dirty";"2014-10-07";"2014-10-21";"Singapore Republic";"Malaysia"
"Delta Victory";236459;"crude";"crude/co";"Dirty";"2018-07-19";"2018-08-24";"United States";"Mexico"
"Adisa";523136;"crude";"crude/co";"Dirty";"2020-03-20";"2020-06-18";"Russian Federation";"Bulgaria"
"Ncc Dammam";455250;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2019-10-30";"2019-12-23";"Turkey";"Italy"
"Eagle Trenton";921696;"FO";"Fuel Oils";"DPP";"2017-03-10";"2017-03-25";"Iran";"Spain"
"Kriti Verano";109260;"crude";"crude/co";"Dirty";"2017-09-08";"2017-10-03";"India";"Pakistan"
"Louisiana";1076513;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2016-01-16";"2016-01-19";"Saudi Arabia";"United States"
"Songa Fortune";698992;"crude";"crude/co";"Dirty";"2017-02-14";NA;"Saudi Arabia";NA
"Histria Tiger";400000;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2017-08-09";"2017-08-12";"Thailand";"China"
"Vs Riesa";906022;"RFO";"Fuel Oils";"DPP";"2016-08-05";"2016-08-06";"United Arab Emirates";"Pakistan"
"Kasagisan";19158;"crude";"crude/co";"Dirty";"2016-11-20";"2017-01-06";"Brazil";"Brazil"
"Alhena";34562;"Blending Comps";"Blendings";"Light Ends";"2016-02-06";"2016-02-26";"Venezuela";"Aruba"
"Moskovsky Prospect";49985;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-04-19";"2019-05-01";"United States";"Chile"
"Louis P";34505;"crude";"crude/co";"Dirty";"2017-11-13";NA;"Bahamas";NA
"Grape";1056354;"crude";"crude/co";"Dirty";"2014-02-01";"2014-02-10";"Peru";"Peru"
"Hellas Tatiana";345417;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2017-05-27";"2017-06-08";"Brazil";"Brazil"
"Alaskan Frontier";323755;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2017-12-17";"2017-12-21";"Singapore Republic";"Malaysia"
"Mahakamah I";2119;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-02-02";"2019-03-29";"United States";"United States"
"Kokako";146841;"crude";"crude/co";"Dirty";"2018-01-10";"2018-01-12";"Iraq";"Egypt"
"Bukha";50;"crude";"crude/co";"Dirty";"2014-09-20";"2015-07-09";"Russian Federation";"Japan"
"Ridgebury Purpose";599997;NA;"crude/co";"Dirty";"2017-04-01";"2017-04-07";"Russian Federation";"Lithuania"
"Pacific Beryl";674997;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-03-30";"2018-05-21";"United States";"Iceland"
"Shturman Skuratov";137696;"RFO";"Fuel Oils";"DPP";"2016-04-17";"2016-04-19";"Mexico";"United States"
"Sti Poplar";604054;NA;"Gasoil/Diesel";"Middle Distillates";"2019-01-13";"2019-01-22";"Republic of the Congo";"Australia"
"Jag Lata";137822;"crude";"crude/co";"Dirty";"2017-09-02";"2017-09-28";"Saudi Arabia";"United States"
"Ulaya";496492;"crude";"crude/co";"Dirty";"2020-06-28";"2020-07-01";"Iraq";"Greece"
"Pvt Mercury";199997;"crude";"crude/co";"Dirty";"2017-12-11";"2017-12-26";"India";"South Africa"
"Karema";578429;"crude";"crude/co";"Dirty";"2020-01-25";NA;"Cameroon";NA
"Eurostrength";385213;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2019-11-15";NA;"United Arab Emirates";NA
"Maran Aries";43770;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2020-07-01";"2020-07-19";"Russian Federation";"South Korea"
"Sambong Artemis";14164;NA;"Gasoil/Diesel";"Middle Distillates";"2013-02-08";"2013-02-23";"Vietnam";"Vietnam"
"Heather Knutsen";739813;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2016-02-17";"2016-02-21";"Nigeria";"Nigeria"
"Livramento";300741;"Blending Comps";"Blendings";"Light Ends";"2017-07-24";"2017-09-19";"Japan";"Singapore Republic"
"Sti Solace";1072041;"crude";"crude/co";"Dirty";"2016-03-13";"2016-03-21";"United Arab Emirates";"Japan"
"Athenian Glory";102744;"crude";"crude/co";"Dirty";"2019-06-30";"2019-07-24";"Nigeria";"United States"
"Elka Astir";67615;"crude";"crude/co";"Dirty";"2017-04-09";NA;"Nigeria";NA
"Paterna";716591;"crude";"crude/co";"Dirty";"2017-08-23";"2017-09-03";"Russian Federation";"Japan"
"Marlin Azurite";1409338;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2018-04-06";"2018-04-12";"Indonesia";"Indonesia"
"Dai Minh";179309;"Jet";"Kero/Jet";"Middle Distillates";"2019-09-25";"2019-10-03";"Saudi Arabia";"India"
"Elka Delos";407497;"crude";"crude/co";"Dirty";"2014-10-19";NA;"Trinidad and Tobago";NA
"As Suwayq";999998;"FO";"Fuel Oils";"DPP";"2016-12-26";"2017-01-10";"Mexico";"United States"
"Maersk Torshavn";856150;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2014-02-03";"2014-03-11";"South Korea";"Taiwan"
"Atria";479767;"Jet";"Kero/Jet";"Middle Distillates";"2019-11-29";NA;"Norway";NA
"Fraternity";58061;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2017-06-01";"2017-06-08";"Venezuela";"Germany"
"Ocean Princess I";332196;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2017-01-27";"2017-01-30";"United States";"United States"
"Konstantin Jacob";218319;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-01-02";"2018-01-06";"Kuwait";"Pakistan"
"Dong-A Krios";41701;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-04-25";"2020-06-22";"Canada";"United States"
"Nordic Brasilia";37675;"crude";"crude/co";"Dirty";"2019-07-18";"2019-08-13";"United States";"Argentina"
"Tropic Sea";140646;"FO";"Fuel Oils";"DPP";"2020-04-27";"2020-06-27";"United Kingdom";"Netherlands"
"Challenge Pegasus";95208;NA;"Gasoline/Naphtha";"Light Ends";"2019-06-13";"2019-06-24";"Brazil";"South Korea"
"Buddha";100001;"Clean Condensate";"Blendings";"Light Ends";"2017-12-23";NA;"United States";NA
"El Junior Pnt";82616;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2020-01-12";"2020-02-06";"United States";"United States"
"Cospearl Lake";158081;"crude";"crude/co";"Dirty";"2017-03-01";"2017-03-28";"Indonesia";"South Korea"
"Elka Parana";514896;"crude";"crude/co";"Dirty";"2018-06-17";"2018-06-17";"United States";"Ecuador"
"Kanazawa";102404;"FO";"Fuel Oils";"DPP";"2018-04-09";NA;"United States";NA
"Salamina";269795;"FO";"Fuel Oils";"DPP";"2020-03-21";"2020-04-06";"Brunei";"Japan"
"Swift Winchester";515305;"crude";"crude/co";"Dirty";"2017-12-20";"2018-01-09";"Canada";"United States"
"Pro Trader";548622;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2020-05-01";"2020-05-07";"Qatar";"Japan"
"Lauren";105461;NA;"crude/co";"Dirty";"2015-01-11";"2015-02-02";"Netherlands";"Ghana"
"Navion Oceania";1027679;"crude";"crude/co";"Dirty";"2020-03-29";"2020-04-26";"Lithuania";"Puerto Rico"
"Nave Polaris";318522;NA;"crude/co";"Dirty";"2016-10-28";"2016-11-13";"United States";"United States"
"Minerva Tychi";2126396;"crude";"crude/co";"Dirty";"2016-03-31";"2016-04-06";"Russian Federation";"South Korea"
"Maera";250001;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2013-05-29";"2013-06-27";"Togo";"Senegal"
"Nave Estella";37896;NA;"Gasoil/Diesel";"Middle Distillates";"2016-04-20";"2016-07-06";"Netherlands";"Togo"
"Artavil";71898;"crude";"crude/co";"Dirty";"2019-07-26";"2019-07-28";"United Kingdom";"Ireland"
"Sti Ruby";1050366;"FO";"Fuel Oils";"DPP";"2019-02-18";"2019-02-21";"China";"Singapore Republic"
"Aurora";742103;"crude";"crude/co";"Dirty";"2017-01-29";"2017-03-07";"Brunei";"South Korea"
"Atlantic Wind";118889;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-09-29";"2018-10-20";"United States";"United States"
"Navion Gothenburg";766042;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2017-09-14";"2017-09-27";"United States";"Mexico"
"Bright Pioneer";344279;"crude";"crude/co";"Dirty";"2020-04-26";"2020-06-17";"Egypt";"Algeria"
"Largo Mariner";272940;"crude";"crude/co";"Dirty";"2014-06-06";"2014-06-21";"Venezuela";"United States"
"Unity Venture";361456;"crude";"crude/co";"Dirty";"2016-12-12";"2016-12-29";"Singapore Republic";"Indonesia"
"Lone Star State";475427;"crude";"crude/co";"Dirty";"2014-11-10";"2014-11-19";"Russian Federation";"Malta"
"Ardmore Exporter";17850;"crude";"crude/co";"Dirty";"2016-08-13";"2016-08-18";"Qatar";"Japan"
"Qubaa";831645;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2013-06-20";"2013-07-16";"United States";"Mexico"
"Navig8 Strength";433852;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2016-02-16";"2016-02-21";"Angola";"Uruguay"
"Eagle Parana";14101;"crude";"crude/co";"Dirty";"2018-09-26";"2018-09-28";"Trinidad and Tobago";"Saint Lucia"
"Stolt Virtue";801730;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-03-02";"2020-03-19";"United States";"Honduras"
"Ocean Jupiter";630000;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2018-02-02";"2018-02-26";"Nigeria";"Indonesia"
"Nordic Basel";775653;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-02-02";"2019-02-25";"Estonia";"United States"
"Ardmore Sealancer";265090;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2016-07-02";"2016-07-18";"Russian Federation";"Finland"
"Ataulfo Alves";41500;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2016-12-09";"2017-02-01";"Egypt";"Egypt"
"Eneos Ocean";36826;"crude";"crude/co";"Dirty";"2019-04-09";"2019-04-23";"France";"Belgium"
"Athens Voyager";313282;"crude";"crude/co";"Dirty";"2018-12-23";"2019-01-13";"Saudi Arabia";"Saudi Arabia"
"Spruce Express";226942;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2018-10-21";NA;"Canada";NA
"Uacc Yanbu";338794;"crude";"crude/co";"Dirty";"2016-09-29";"2016-10-11";"Netherlands";"Lebanon"
"Minerva Virgo";97919;"crude";"crude/co";"Dirty";"2017-01-17";"2017-01-28";"United Kingdom";"United Kingdom"
"Gotland Sofia";62583;"crude";"crude/co";"Dirty";"2019-03-28";"2019-04-21";"India";"India"
"New England";628999;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2019-07-23";"2019-08-26";"Russian Federation";"Lithuania"
"Lian Le Hu";424077;"FO";"Fuel Oils";"DPP";"2017-11-30";"2017-12-07";"Norway";"China"
"Torm Resilience";49236;"crude";"crude/co";"Dirty";"2018-09-14";"2018-09-29";"United Arab Emirates";"Kenya"
"Mariano Abasolo";42846;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-07-12";"2018-07-22";"Cameroon";"Malaysia"
"Tajimare";690231;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2015-02-16";"2015-03-08";"United States";"Mexico"
"Barcan Iii";116367;"crude";"crude/co";"Dirty";"2016-11-23";"2016-11-26";"Mexico";"Spain"
"Cosjade Lake";22052;"crude";"crude/co";"Dirty";"2014-07-27";"2014-09-25";"Russian Federation";"Russian Federation"
"Orpheas";495938;"crude";"crude/co";"Dirty";"2017-09-22";"2017-10-13";"United States";"France"
"Front Eminence";102083;NA;"Fuel Oils";"DPP";"2018-12-11";NA;"Singapore Republic";NA
"Symeon 3";345417;"crude";"crude/co";"Dirty";"2017-06-06";"2017-08-05";"Algeria";"United Kingdom"
"British Stratus";114763;NA;"Kero/Jet";"Middle Distillates";"2020-06-06";"2020-06-30";"United States";"United Kingdom"
"Sten Suomi";670462;"crude";"crude/co";"Dirty";"2020-08-29";"2020-09-18";"Kuwait";"Pakistan"
"Bodil Knutsen";569454;NA;"Gasoil/Diesel";"Middle Distillates";"2017-10-19";"2017-12-22";"Russian Federation";"Netherlands"
"Santa Marina";526369;"FO";"Fuel Oils";"DPP";"2019-01-19";"2019-02-02";"Canada";"China"
"Sakuragawa";9000;"crude";"crude/co";"Dirty";"2019-12-28";"2019-12-31";"Saudi Arabia";"India"
"Seaempress";404988;"crude";"crude/co";"Dirty";"2020-03-02";"2020-03-28";"Iran";"Malaysia"
"Azumasan";570001;"crude";"crude/co";"Dirty";"2016-07-21";"2016-07-28";"United Arab Emirates";"South Korea"
"Fmt Bergama";461433;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-03-30";"2019-04-16";"Chile";"Chile"
"Jiu Hua San";344272;"FO";"Fuel Oils";"DPP";"2014-01-11";"2014-01-17";"Russian Federation";"Germany"
"Zefyros";698992;"crude";"crude/co";"Dirty";"2020-02-27";"2020-03-09";"Nigeria";"Italy"
"Erviken";383452;"FO";"Fuel Oils";"DPP";"2019-08-28";"2019-09-22";"Portugal";"Spain"
"High Sd Yihe";58218;"crude";"crude/co";"Dirty";"2017-06-02";"2017-06-05";"Ivory Coast";"Bahamas"
